,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
182,Ligne 9,@Ligne9_RATP,2022-10-26T15:33:37.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 26, 2022",Signal d'alarme actionné à Franklin Roosevelt. Le trafic est perturbé sur l'ensemble de la ligne #LIGNE9 #RATP,⚠,1,1,,[],https://twitter.com/Ligne9_RATP/status/1585293581287411713
183,Ligne 9,@Ligne9_RATP,2022-10-26T13:45:38.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 26, 2022",Bagage oublié à St Philippe du Roule. Le  trafic est interrompu entre Franklin D. Roosevelt et Havre – Caumartin. La reprise du trafic est estimée à 16h00 #ligne9 #ratp,❌,2,1,2,[],https://twitter.com/Ligne9_RATP/status/1585266404978315266
184,Ligne 9,@Ligne9_RATP,2022-10-24T15:54:02.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 24, 2022", Une rame stationne à Michel-Ange - Auteuil en direction de Mairie de Montreuil en raison d'une gêne à la fermeture des portes #Ligne9 #RATP,⚠,2,,2,[],https://twitter.com/Ligne9_RATP/status/1584573942014025728
185,Ligne 9,@Ligne9_RATP,2022-10-21T15:33:33.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 21, 2022","En raison d'un incident d'exploitation, le trafic est perturbé sur l'ensemble de la ligne #Ligne9 #RATP",⚠,4,,3,[],https://twitter.com/Ligne9_RATP/status/1583481622779002880
186,Ligne 9,@Ligne9_RATP,2022-10-20T17:36:52.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 20, 2022","Le trafic est interrompu entre Chaussée d'Antin -La-Fayette et Oberkampf en raison de personnes sur les voies, la reprise est estimée vers 20h00 #Ligne9 #RATP",❌,4,5,7,[],https://twitter.com/Ligne9_RATP/status/1583150268090560512
187,Ligne 9,@Ligne9_RATP,2022-10-20T09:28:12.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 20, 2022",  le trafic est interrompu entre Michel-Ange – Auteuil et Porte de Saint-Cloud et reprendra vers 12h00.Cela fait suite à un incident d'exploitation sur la #Ligne9 #RATP,❌,1,,2,[],https://twitter.com/Ligne9_RATP/status/1583027292145864704
188,Ligne 9,@Ligne9_RATP,2022-10-20T09:08:57.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 20, 2022", le trafic est interrompu entre Porte de Saint-Cloud et Michel-Ange – Auteuil et reprendra vers 11h30. Cela fait suite à un incident d'exploitation à Michel-Ange – Auteuil et Porte de Saint-Cloud sur la #Ligne9 #RATP,❌,1,,4,[],https://twitter.com/Ligne9_RATP/status/1583022450459422721
189,Ligne 9,@Ligne9_RATP,2022-10-18T16:16:59.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 18, 2022"," En répercussion de personnes sur les voies, le trafic est perturbé sur l’ensemble de la #Ligne9 #RATP.",⚠,1,2,,[],https://twitter.com/Ligne9_RATP/status/1582405389949501440
190,Ligne 9,@Ligne9_RATP,2022-10-18T12:41:09.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 18, 2022"," En répercussion de personnes sur les voies, le trafic est perturbé sur l’ensemble de la #Ligne9 #RATP",⚠,1,1,1,[],https://twitter.com/Ligne9_RATP/status/1582351074639613953
191,Ligne 9,@Ligne9_RATP,2022-10-18T08:12:26.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 18, 2022",Bagage oublié. Une rame stationne à Mairie de Montreuil #LIGNE9 #RATP,⚠,1,,1,[],https://twitter.com/Ligne9_RATP/status/1582283448948883457
192,Ligne 9,@Ligne9_RATP,2022-10-17T07:07:51.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 17, 2022",Difficultés d'exploitation. Le trafic est perturbé sur l'ensemble de la #ligne9 #ratp,⚠,3,3,4,[],https://twitter.com/Ligne9_RATP/status/1581904810173169664
193,Ligne 9,@Ligne9_RATP,2022-10-17T06:16:02.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 17, 2022"," Panne de signalisation. Le trafic est perturbé de Trocadéro vers Po,t de Sèvres  #ligne9 #ratp",⚠,2,,2,[],https://twitter.com/Ligne9_RATP/status/1581891769851334656
194,Ligne 9,@Ligne9_RATP,2022-10-15T14:05:45.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 15, 2022","En raison d'un malaise voyageur, la rame stationne à la station Saint-Philippe du Roule en direction de Mairie de Montreuil. #ligne9 #RATP",⚠,2,,,[],https://twitter.com/Ligne9_RATP/status/1581285201078280199
195,Ligne 9,@Ligne9_RATP,2022-10-14T16:55:08.000Z,"Ligne 9
@Ligne9_RATP
·
Oct 14, 2022","En raison de difficultés d'exploitation, le trafic est perturbé sur la #ligne9. #RATP",⚠,2,,1,[],https://twitter.com/Ligne9_RATP/status/1580965440926363657
