,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Ligne 9,@Ligne9_RATP,2023-01-16T15:27:38.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16", L’incident lié au bagage oublié à la station  Billancourt est terminé. Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅ 👜,,,2,[],https://twitter.com/Ligne9_RATP/status/1615007879043452928
1,Ligne 9,@Ligne9_RATP,2023-01-16T15:24:45.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 16","En répercussion d’un bagage oublié  à la station Billancourt, le trafic reprend progressivement sur l’ensemble de la #Ligne9 #RATP",⚠ 👜,1,,3,[],https://twitter.com/Ligne9_RATP/status/1615007154355716102
2,Ligne 9,@Ligne9_RATP,2023-01-13T22:46:37.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 13", Retour à un trafic régulier sur l'ensemble de la ligne. #Ligne9 #RATP,✅,,,4,[],https://twitter.com/Ligne9_RATP/status/1614031188577996801
3,Ligne 9,@Ligne9_RATP,2023-01-13T11:19:28.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 13", Retour à un trafic régulier sur l'ensemble de la ligne. #Ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1613858264122376193
4,Ligne 9,@Ligne9_RATP,2023-01-13T10:36:45.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 13",Fin d'incident. Le trafic reprend progressivement sur l'ensemble de la #ligne9 #ratp,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1613847512867119105
5,Ligne 9,@Ligne9_RATP,2023-01-12T05:52:48.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 12",L'incident est terminé. Le trafic est rétabli sur la #Ligne9 #RATP,✅,,,4,[],https://twitter.com/Ligne9_RATP/status/1613413666589663233
6,Ligne 9,@Ligne9_RATP,2023-01-10T08:36:54.000Z,"Ligne 9
@Ligne9_RATP
·
Jan 10",Fin des répercussions liées à l'incident. Le trafic est rétabli sur l'ensemble de la #ligne9 #ratp,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1612730186293805056
7,Ligne 9,@Ligne9_RATP,2022-12-20T22:15:57.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 20, 2022",Le trafic est rétabli sur la #Ligne9 #RATP,✅,,,4,[],https://twitter.com/Ligne9_RATP/status/1605326161395027968
8,Ligne 9,@Ligne9_RATP,2022-12-20T20:40:53.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 20, 2022",Le trafic est rétabli sur la #Ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1605302241061126144
9,Ligne 9,@Ligne9_RATP,2022-12-20T20:15:24.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 20, 2022","Fin d'incident sur la ligne 9, le trafic reprend progressivement mais reste perturbé sur l'ensemble de la #ligne9#RATP.",⚠,1,,3,[],https://twitter.com/Ligne9_RATP/status/1605295824178761737
10,Ligne 9,@Ligne9_RATP,2022-12-20T18:27:49.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 20, 2022",Le trafic est rétabli sur la #Ligne9 #RATP,✅,1,1,4,[],https://twitter.com/Ligne9_RATP/status/1605268750961414147
11,Ligne 9,@Ligne9_RATP,2022-12-20T18:20:22.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 20, 2022", le trafic reprend mais reste très perturbé sur l'ensemble de la #ligne9 en raison d'un malaise voyageur à Saint-Ambroise. #RATP,⚠,1,,2,[],https://twitter.com/Ligne9_RATP/status/1605266876673695752
12,Ligne 9,@Ligne9_RATP,2022-12-20T07:55:07.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 20, 2022", Retour à un trafic régulier sur l'ensemble de la ligne. #ligne9 #RATP,✅,,,4,[],https://twitter.com/Ligne9_RATP/status/1605109527333978113
13,Ligne 9,@Ligne9_RATP,2022-12-19T15:29:40.000Z,"Ligne 9
@Ligne9_RATP
·
Dec 19, 2022", L'incident est terminé (bagage oublié). Le trafic reprend progressivement sur l'ensemble de la #ligne9 #RATP,⚠,6,,1,[],https://twitter.com/Ligne9_RATP/status/1604861532801843200
