,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
296,Ligne 9,@Ligne9_RATP,2022-11-09T15:18:24.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 9, 2022", L’incident est terminé (Panne de signalisation). Le trafic reprend progressivement sur l’ensemble de la #Ligne9 #RATP,⚠,1,1,4,[],https://twitter.com/Ligne9_RATP/status/1590363181108658177
297,Ligne 9,@Ligne9_RATP,2022-11-09T08:52:51.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 9, 2022",Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1590266153762541568
298,Ligne 9,@Ligne9_RATP,2022-11-09T06:06:30.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 9, 2022",Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,4,[],https://twitter.com/Ligne9_RATP/status/1590224290355585025
299,Ligne 9,@Ligne9_RATP,2022-11-06T20:58:08.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 6, 2022", Fin d'incident. Le trafic est rétabli sur l’ensemble de la #Ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1589361512614924294
300,Ligne 9,@Ligne9_RATP,2022-11-05T23:02:18.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 6, 2022", Le trafic est rétabli sur l’ensemble de la #Ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1589030375271141378
301,Ligne 9,@Ligne9_RATP,2022-11-05T13:15:41.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 5, 2022"," Incident terminé, retour à un trafic régulier sur l'ensemble de la #Ligne9 #RATP",✅,,,2,[],https://twitter.com/Ligne9_RATP/status/1588882747996737537
302,Ligne 9,@Ligne9_RATP,2022-11-01T22:42:15.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 1, 2022", Le trafic est rétabli sur l’ensemble de la #Ligne9 #RATP,✅,,,3,[],https://twitter.com/Ligne9_RATP/status/1587575777712754688
303,Ligne 9,@Ligne9_RATP,2022-11-01T22:11:28.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 1, 2022", L’incident est terminé (bagage oublié). Le trafic reprend progressivement sur l’ensemble de la #Ligne9 #RATP,⚠,1,,3,[],https://twitter.com/Ligne9_RATP/status/1587568028958527489
304,Ligne 9,@Ligne9_RATP,2022-11-01T13:11:04.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 1, 2022", Le trafic est rétabli sur l'ensemble de la #Ligne9 #RATP,✅,,,2,[],https://twitter.com/Ligne9_RATP/status/1587432032078028801
305,Ligne 9,@Ligne9_RATP,2022-11-01T13:01:11.000Z,"Ligne 9
@Ligne9_RATP
·
Nov 1, 2022",le trafic reprend mais reste perturbé sur l'ensemble de la ligne en raison de personnes sur les voies à Grands Boulevards. #Ligne9 #RATP,⚠,2,1,3,[],https://twitter.com/Ligne9_RATP/status/1587429548244729862
