,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Ligne 9,@Ligne9_RATP,2018-02-15T19:50:30.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2018",Le trafic est rétabli sur l'ensemble de la ligne. #RATP #Ligne9,,,,,[],https://twitter.com/Ligne9_RATP/status/964225423575076864
1,Ligne 9,@Ligne9_RATP,2018-02-15T17:19:45.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2018",Retour à un trafic régulier sur l'ensemble de la #Ligne9 #RATP. Incident terminé.,,,,1,[],https://twitter.com/Ligne9_RATP/status/964187487945052168
2,Ligne 9,@Ligne9_RATP,2018-02-15T14:52:46.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 15, 2018","15:51, le trafic reprend progressivement (incident d'exploitation) #RATP #Ligne9",,,4,,[],https://twitter.com/Ligne9_RATP/status/964150497698566145
3,Ligne 9,@Ligne9_RATP,2018-02-11T12:15:45.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 11, 2018",Retour à un trafic régulier sur l'ensemble de la #Ligne9 #RATP. Incident terminé.,,,,,[],https://twitter.com/Ligne9_RATP/status/962661430469300224
4,Ligne 9,@Ligne9_RATP,2018-02-11T11:04:46.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 11, 2018","12:03, le trafic reprend progressivement entre Pte de St-Cloud et Havre Caum. (Personnes sur les voies) #RATP #Ligne9",,,,,[],https://twitter.com/Ligne9_RATP/status/962643567964454915
5,Ligne 9,@Ligne9_RATP,2018-02-09T05:02:45.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 9, 2018",Retour à un trafic régulier sur l'ensemble de la #Ligne9 #RATP. Incident terminé.,,3,,,[],https://twitter.com/Ligne9_RATP/status/961827689727315972
6,Ligne 9,@Ligne9_RATP,2018-02-05T16:54:36.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 5, 2018","17:51, le trafic reprend progressivement (incident technique) #RATP #Ligne9",,1,3,2,[],https://twitter.com/Ligne9_RATP/status/960557281602662406
7,Ligne 9,@Ligne9_RATP,2018-02-05T16:53:39.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 5, 2018",[Incident technique] Fin d'incident entre Porte de Saint-Cloud et Pont de Sèvres. Le trafic reprend progressivement sur l'ensemble de la #Ligne9 #RATP,,,3,2,[],https://twitter.com/Ligne9_RATP/status/960557040761483265
8,Ligne 9,@Ligne9_RATP,2018-02-05T10:07:52.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 5, 2018",Incident terminé.Retour à un trafic normal sur l'ensemble de la #Ligne9. #RATP,,,1,1,[],https://twitter.com/Ligne9_RATP/status/960454921169620992
9,Ligne 9,@Ligne9_RATP,2018-02-05T07:19:37.000Z,"Ligne 9
@Ligne9_RATP
·
Feb 5, 2018",Retour à un trafic régulier sur l'ensemble de la #Ligne9 #RATP. Incident terminé.,,3,4,1,[],https://twitter.com/Ligne9_RATP/status/960412582766174208
